,Unnamed: 0.1,Duration,Checking account,Credit amount,Purpose,Job,Sex,data_source,Saving accounts,Housing,Risk,Age,value,Unnamed: 0
104,104,30,,5771,radio/TV,2.0,female,kaggle,little,own,good,25,391779.0,753
105,105,24,,3235,radio/TV,3.0,male,kaggle,quite rich,own,good,26,391779.0,408
106,106,24,little,1199,car,1.0,male,kaggle,,own,bad,60,391779.0,13
107,107,18,,6761,car,2.0,male,kaggle,,rent,bad,68,391779.0,846
108,108,24,,2255,car,2.0,male,kaggle,,own,,54,391779.0,514
109,109,12,rich,,,2.0,,kaggle,quite rich,own,,28,391779.0,409
110,110,10,moderate,1048,radio/TV,1.0,male,kaggle,little,own,good,23,391779.0,741
111,111,12,moderate,685,car,1.0,male,kaggle,little,own,bad,25,391779.0,313
112,112,8,moderate,1237,furniture/equipment,2.0,female,kaggle,little,own,bad,24,391779.0,308
113,113,24,,5804,car,2.0,male,kaggle,rich,own,good,27,391779.0,860
114,114,24,moderate,1837,education,1.0,female,kaggle,little,free,bad,34,391779.0,602
115,115,24,rich,1275,business,2.0,male,kaggle,rich,own,good,36,391779.0,729
116,116,18,moderate,3001,furniture/equipment,2.0,female,kaggle,little,rent,good,40,391779.0,369
117,117,22,,1283,car,2.0,female,kaggle,,rent,good,25,391779.0,382
118,118,21,,2993,car,1.0,male,kaggle,little,own,good,28,391779.0,841
119,119,11,moderate,4771,radio/TV,2.0,male,kaggle,little,own,good,51,391779.0,77
120,120,10,,2901,car,2.0,female,kaggle,,rent,good,31,391779.0,767
121,121,24,little,3345,furniture/equipment,3.0,male,kaggle,little,rent,bad,39,391779.0,919
122,122,9,,2406,furniture/equipment,3.0,male,kaggle,little,own,good,31,391779.0,394
123,123,12,,2748,education,1.0,female,kaggle,little,free,good,57,391779.0,263
124,124,6,,1538,education,2.0,female,kaggle,little,own,good,56,391779.0,680
125,125,12,,1555,repairs,2.0,male,kaggle,rich,free,bad,55,391779.0,754
126,126,13,moderate,882,radio/TV,2.0,male,kaggle,little,own,good,23,391779.0,346
127,127,24,moderate,2825,business,2.0,male,kaggle,,own,good,34,391779.0,886
128,128,24,,3621,radio/TV,2.0,male,kaggle,moderate,own,bad,31,391779.0,949
129,129,48,little,6758,radio/TV,2.0,female,kaggle,little,own,bad,31,391779.0,569
130,130,12,,3059,radio/TV,1.0,male,kaggle,rich,own,good,61,391779.0,8
131,131,12,little,708,furniture/equipment,1.0,male,kaggle,little,own,good,38,391779.0,316
132,132,48,,10127,car,2.0,male,kaggle,quite rich,free,bad,44,391779.0,304
133,133,18,,1149,radio/TV,2.0,male,kaggle,rich,own,good,46,391779.0,427
134,134,24,moderate,11938,vacation/others,3.0,male,kaggle,little,own,bad,39,391779.0,105
135,135,24,little,6872,furniture/equipment,2.0,male,kaggle,little,own,bad,55,391779.0,924
136,136,24,,3868,car,3.0,female,kaggle,little,rent,good,41,391779.0,121
137,137,24,,2424,radio/TV,2.0,male,kaggle,,own,good,53,391779.0,16
138,138,6,,1346,radio/TV,2.0,male,kaggle,moderate,free,good,42,391779.0,150
139,139,12,little,1620,furniture/equipment,2.0,female,kaggle,little,own,good,30,391779.0,441
140,140,10,,1364,car,2.0,female,kaggle,little,own,good,64,391779.0,219
141,141,48,,3578,radio/TV,2.0,male,kaggle,,own,good,47,391779.0,115
142,142,48,moderate,18424,vacation/others,3.0,female,kaggle,little,own,bad,32,391779.0,915
143,143,15,,2221,furniture/equipment,2.0,female,kaggle,quite rich,rent,good,20,391779.0,865
144,144,24,,1249,car,2.0,male,kaggle,little,own,good,28,391779.0,847
145,145,,,,,,,kaggle,,,,,391779.0,
146,146,30,moderate,76543456,radio/TV,2.0,female,kaggle,,own,good,26,391779.0,965
147,147,12,little,1409,car,2.0,male,kaggle,little,own,good,54,391779.0,91
148,148,15,,5324,car,2.0,female,kaggle,quite rich,free,good,35,391779.0,705
149,149,24,moderate,1965,car,2.0,female,kaggle,,rent,good,42,391779.0,591
150,150,6,,1204,car,2.0,male,kaggle,moderate,rent,good,35,391779.0,247
151,151,12,moderate,1860,car,3.0,male,kaggle,little,own,good,34,391779.0,128
152,152,21,,2580,business,1.0,male,kaggle,quite rich,own,bad,41,391779.0,674
153,153,21,,3160,radio/TV,2.0,male,kaggle,,own,good,41,391779.0,742
154,154,48,little,6999,radio/TV,2.0,male,kaggle,little,own,bad,34,391779.0,552
155,155,36,,12612,education,2.0,male,kaggle,moderate,free,bad,47,391779.0,87
156,156,15,moderate,2728,radio/TV,2.0,male,kaggle,,own,good,35,391779.0,138
157,157,12,little,697,car,2.0,male,kaggle,little,own,bad,46,391779.0,925
158,158,7,,730,radio/TV,1.0,male,kaggle,,rent,good,46,391779.0,71
159,159,12,little,2579,car,1.0,male,kaggle,little,own,bad,33,391779.0,416
160,160,42,little,7882,furniture/equipment,2.0,male,kaggle,little,free,good,45,391779.0,3
161,161,24,,3621,radio/TV,2.0,male,kaggle,moderate,own,bad,31,391779.0,949
162,162,18,rich,2864,furniture/equipment,1.0,male,kaggle,little,own,bad,34,391779.0,543
163,163,15,little,806,business,1.0,female,kaggle,little,own,good,22,391779.0,573
164,164,18,,,car,,,kaggle,,,good,,391779.0,
165,165,12,little,2122,car,1.0,male,kaggle,little,rent,good,39,391779.0,494
166,166,16,little,2625,car,2.0,male,kaggle,little,rent,bad,43,391779.0,900
167,167,18,little,3509,radio/TV,2.0,female,kaggle,little,own,good,25,391779.0,777
168,168,12,little,1680,radio/TV,2.0,male,kaggle,quite rich,own,good,35,391779.0,114
169,169,6,,1338,domestic appliances,2.0,male,kaggle,quite rich,own,good,62,391779.0,816
170,170,7,,,radio/TV,,,kaggle,,,good,,391779.0,
171,171,48,,,business,,,kaggle,,,bad,,391779.0,
172,172,18,moderate,5866,car,2.0,male,kaggle,moderate,own,good,30,391779.0,32
173,173,12,little,1282,furniture/equipment,2.0,female,kaggle,little,rent,bad,20,391779.0,155
174,174,30,,3077,radio/TV,2.0,male,kaggle,,own,good,40,391779.0,716
175,175,15,,1316,radio/TV,1.0,male,kaggle,quite rich,own,good,47,391779.0,726
176,176,36,,4463,radio/TV,3.0,male,kaggle,little,own,bad,26,391779.0,357
177,177,24,little,3123,car,2.0,female,kaggle,little,own,bad,27,391779.0,500
178,178,18,,1800,radio/TV,2.0,male,kaggle,little,own,good,24,391779.0,698
179,179,9,moderate,1154,radio/TV,1.0,male,kaggle,little,own,good,37,391779.0,957
180,180,36,little,5493,car,2.0,male,kaggle,little,free,good,42,391779.0,501
181,181,14,little,3973,car,2.0,male,kaggle,little,free,good,22,391779.0,655
182,182,30,little,10623,car,3.0,male,kaggle,little,free,good,38,391779.0,205
183,183,11,,2142,business,2.0,male,kaggle,rich,own,good,28,391779.0,913
184,184,36,little,9629,car,2.0,male,kaggle,little,own,bad,24,391779.0,812
185,185,21,,5003,car,2.0,female,kaggle,,own,bad,29,391779.0,557
186,186,7,,846,radio/TV,2.0,male,kaggle,,free,good,36,391779.0,377
187,187,21,rich,2319,education,2.0,male,kaggle,little,rent,bad,33,391779.0,535
188,188,18,little,1442,car,1.0,male,kaggle,little,free,bad,32,391779.0,853
189,189,6,little,4716,car,1.0,male,kaggle,,own,good,44,391779.0,693
190,190,24,moderate,2760,car,2.0,male,kaggle,,free,good,36,391779.0,198
191,191,24,little,1546,radio/TV,1.0,male,kaggle,little,rent,bad,24,391779.0,561
192,192,60,,10366,car,3.0,male,kaggle,little,own,good,42,391779.0,672
193,193,12,little,385,radio/TV,1.0,female,kaggle,little,own,good,58,391779.0,590
194,194,6,,700,radio/TV,2.0,male,kaggle,,free,,36,391779.0,519
195,195,8,moderate,1237,furniture/equipment,2.0,female,kaggle,little,own,bad,24,391779.0,308
196,196,12,moderate,1995,car,2.0,male,kaggle,moderate,own,good,27,391779.0,553
197,197,30,,4530,radio/TV,3.0,female,kaggle,little,rent,good,26,391779.0,675
198,198,42,moderate,9283,car,3.0,male,kaggle,little,free,good,55,391779.0,808
199,199,36,,,furniture/equipment,,,kaggle,,,bad,,391779.0,
200,200,24,,2611,radio/TV,2.0,male,kaggle,little,own,good,46,391779.0,839
201,201,,,,,2.0,female,kaggle,little,own,,29,391779.0,
202,202,12,moderate,1424,domestic appliances,2.0,male,kaggle,little,own,good,26,391779.0,207
203,203,21,,2476,car,3.0,male,kaggle,,own,good,46,391779.0,712
204,204,9,,,education,,,kaggle,,,good,41,391779.0,445
205,205,24,rich,947,car,2.0,male,kaggle,little,free,bad,38,391779.0,648
206,206,15,,1262,domestic appliances,2.0,male,kaggle,quite rich,own,good,36,391779.0,162
207,207,11,little,3905,car,2.0,male,kaggle,little,rent,good,36,391779.0,456
208,208,12,moderate,1424,domestic appliances,2.0,male,kaggle,little,own,good,26,391779.0,207
209,209,6,,1236,car,2.0,male,kaggle,quite rich,rent,good,50,391779.0,695
210,210,24,,2684,radio/TV,1.0,male,kaggle,little,own,good,35,391779.0,256
211,211,15,rich,2360,car,2.0,male,kaggle,quite rich,own,,36,391779.0,506
212,212,24,little,3632,car,2.0,female,kaggle,little,rent,good,22,391779.0,
213,213,36,little,8229,car,2.0,male,kaggle,little,own,bad,26,391779.0,983
214,214,12,little,1274,car,1.0,female,kaggle,little,own,bad,37,391779.0,747
215,215,15,,5324,car,2.0,female,kaggle,quite rich,free,good,35,391779.0,705
216,216,10,rich,781,car,2.0,male,kaggle,little,free,good,63,391779.0,123
217,217,9,,2134,car,2.0,male,kaggle,little,own,,48,391779.0,20
218,218,60,,10366,car,3.0,male,kaggle,little,own,good,42,391779.0,672
219,219,24,,1258,business,2.0,male,kaggle,little,own,good,25,391779.0,245
220,220,18,moderate,12976,car,3.0,female,kaggle,little,free,bad,38,391779.0,381
221,221,48,little,7763,car,3.0,male,kaggle,little,free,bad,42,391779.0,538
222,222,24,little,6579,car,,,kaggle,little,free,good,29,391779.0,988
223,223,12,little,4843,car,2.0,male,kaggle,little,rent,bad,43,391779.0,668
224,224,,little,1755,vacation/others,1.0,female,kaggle,little,own,good,58,391779.0,83
225,225,24,,2603,car,2.0,female,kaggle,rich,rent,good,28,391779.0,733
226,226,18,moderate,6361,furniture/equipment,2.0,male,kaggle,little,own,good,41,391779.0,659
227,227,48,little,6331,car,2.0,male,kaggle,little,free,bad,46,391779.0,701
228,228,12,,1495,car,1.0,male,kaggle,little,own,good,38,391779.0,204
229,229,18,,2662,car,2.0,male,kaggle,,own,good,32,391779.0,270
230,230,24,rich,2892,furniture/equipment,2.0,male,kaggle,little,free,good,51,391779.0,793
231,231,24,little,1442,car,2.0,female,kaggle,little,rent,bad,23,391779.0,596
232,232,24,little,,furniture/equipment,2.0,male,kaggle,little,rent,bad,23,391779.0,334
233,233,24,moderate,3512,car,2.0,male,kaggle,moderate,own,good,38,391779.0,158
234,234,36,little,3959,furniture/equipment,3.0,male,kaggle,little,own,good,30,391779.0,993
235,235,24,,,car,,,kaggle,,,bad,31,391779.0,454
236,236,18,little,1190,repairs,0.0,female,kaggle,little,free,bad,55,391779.0,429
237,237,6,little,860,car,2.0,female,kaggle,little,own,good,39,391779.0,146
238,238,60,moderate,14027,car,3.0,male,kaggle,little,own,bad,27,391779.0,714
239,239,6,,250,car,1.0,female,kaggle,rich,own,good,41,391779.0,725
240,240,6,little,343,domestic appliances,2.0,female,kaggle,little,own,good,27,391779.0,458
241,241,54,,9436,car,1.0,male,kaggle,,own,good,39,391779.0,78
242,242,36,,5742,business,2.0,male,kaggle,moderate,own,good,31,391779.0,671
243,243,18,moderate,5866,car,2.0,,kaggle,moderate,own,good,30,391779.0,32
244,244,6,moderate,454,repairs,1.0,male,kaggle,little,own,good,22,391779.0,964
245,245,15,little,1845,furniture/equipment,2.0,female,kaggle,little,rent,good,46,391779.0,944
246,246,12,little,2214,radio/TV,1.0,male,kaggle,little,own,good,24,391779.0,762
247,247,20,little,2212,furniture/equipment,2.0,male,kaggle,,own,good,39,391779.0,380
249,249,12,moderate,1922,furniture/equipment,1.0,male,kaggle,little,own,bad,37,391779.0,651
250,250,30,,7596,car,2.0,male,kaggle,,own,good,63,391779.0,715
251,251,24,little,1371,car,2.0,female,kaggle,,rent,bad,25,391779.0,775
252,252,10,rich,1347,radio/TV,2.0,male,kaggle,,own,good,27,391779.0,686
253,253,12,moderate,,furniture/equipment,1.0,male,kaggle,little,own,bad,37,391779.0,651
254,254,48,moderate,8358,car,2.0,female,kaggle,quite rich,own,good,30,391779.0,945
255,255,6,,1543,furniture/equipment,2.0,male,kaggle,rich,own,good,33,391779.0,305
256,256,12,,1413,car,2.0,male,kaggle,rich,own,good,55,391779.0,209
257,257,12,,3331,furniture/equipment,2.0,male,kaggle,little,own,good,42,391779.0,867
258,258,33,little,4281,furniture/equipment,2.0,female,kaggle,quite rich,own,bad,23,391779.0,118
259,259,24,little,6579,car,3.0,male,kaggle,little,free,good,29,391779.0,988
260,260,16,little,2625,car,2.0,male,kaggle,little,rent,bad,43,391779.0,900
261,261,15,,1459,radio/TV,1.0,female,kaggle,little,own,good,43,391779.0,345
262,262,24,,2611,radio/TV,2.0,male,kaggle,little,own,good,46,391779.0,839
263,263,24,,1901,radio/TV,3.0,male,kaggle,moderate,rent,good,29,391779.0,279
264,264,,,,,,,kaggle,,,good,29,391779.0,562
265,265,24,,4139,business,1.0,male,kaggle,moderate,own,good,27,391779.0,670
266,266,30,moderate,2503,business,2.0,male,kaggle,moderate,own,good,41,391779.0,703
267,267,15,moderate,1514,repairs,2.0,male,kaggle,moderate,own,good,22,391779.0,970
268,268,15,,960,furniture/equipment,2.0,female,kaggle,rich,own,good,30,391779.0,483
269,269,24,,717,car,2.0,male,kaggle,,own,good,54,391779.0,798
270,270,12,little,1262,furniture/equipment,1.0,male,kaggle,,own,good,49,391779.0,277
271,271,15,,1478,radio/TV,2.0,male,kaggle,little,own,good,33,391779.0,682
272,272,12,little,1200,education,2.0,female,kaggle,,rent,good,23,391779.0,221
273,273,42,moderate,9283,car,3.0,male,kaggle,little,free,good,55,391779.0,808
274,274,30,,5954,radio/TV,2.0,male,kaggle,little,own,good,38,391779.0,571
275,275,33,,7253,,3.0,male,kaggle,little,own,,35,391779.0,411
276,276,21,moderate,2353,car,2.0,male,kaggle,little,own,good,47,391779.0,961
277,277,30,moderate,2150,car,2.0,female,kaggle,little,own,bad,24,391779.0,252
278,278,18,little,2039,furniture/equipment,2.0,female,kaggle,little,rent,bad,20,391779.0,585
279,279,36,moderate,7432,car,2.0,female,kaggle,little,rent,good,54,391779.0,815
280,280,,moderate,753,radio/TV,2.0,female,kaggle,little,own,good,64,391779.0,976
281,281,24,,4139,business,1.0,male,kaggle,moderate,own,good,27,391779.0,670
282,282,6,,426,radio/TV,1.0,male,kaggle,little,own,good,39,391779.0,26
283,283,21,,2580,business,1.0,male,kaggle,quite rich,own,bad,41,391779.0,674
284,284,9,,1980,furniture/equipment,2.0,female,kaggle,,rent,bad,19,391779.0,633
285,285,7,moderate,2576,radio/TV,2.0,male,kaggle,little,own,good,35,391779.0,447
286,286,24,,717,car,2.0,male,kaggle,,own,good,54,391779.0,798
287,287,12,little,759,car,2.0,male,kaggle,little,own,bad,26,391779.0,510
288,288,15,little,950,car,2.0,male,kaggle,little,rent,bad,33,391779.0,170
289,289,30,moderate,1715,radio/TV,2.0,female,kaggle,,own,good,26,391779.0,965
290,290,18,,1568,business,1.0,female,kaggle,moderate,rent,good,24,391779.0,82
291,291,30,little,2406,furniture/equipment,2.0,female,kaggle,little,rent,bad,23,391779.0,359
292,292,24,,1597,education,2.0,male,kaggle,little,free,good,54,391779.0,800
293,293,,,,car,,,kaggle,,,good,,391779.0,
294,294,18,,629,radio/TV,3.0,male,kaggle,quite rich,own,good,32,391779.0,710
295,295,48,moderate,-456789,business,2.0,male,kaggle,,free,good,38,391779.0,829
296,296,48,,7629,business,3.0,male,kaggle,,own,good,46,391779.0,294
297,297,24,little,1381,car,2.0,female,kaggle,,own,bad,35,391779.0,414
298,298,18,little,1217,domestic appliances,1.0,male,kaggle,little,own,bad,47,391779.0,588
299,299,,,,,2.0,female,kaggle,little,free,,62,391779.0,487
300,300,21,,1572,business,1.0,female,kaggle,rich,own,good,36,391779.0,592
301,301,20,little,4272,furniture/equipment,2.0,female,kaggle,little,own,good,24,391779.0,802
302,302,24,,6314,vacation/others,3.0,male,kaggle,,own,good,27,391779.0,665
303,303,21,,3652,business,2.0,male,kaggle,little,own,good,27,391779.0,620
304,304,12,,3527,car,3.0,male,kaggle,,own,good,45,391779.0,940
305,305,6,,660,repairs,1.0,male,kaggle,quite rich,rent,good,23,391779.0,436
306,306,12,,930,radio/TV,2.0,male,kaggle,,own,good,65,391779.0,807
307,307,10,moderate,7308,car,3.0,male,kaggle,little,free,good,70,391779.0,163
308,308,6,little,1957,radio/TV,2.0,female,kaggle,little,own,good,31,391779.0,393
309,309,24,,1474,car,2.0,male,kaggle,moderate,own,good,33,391779.0,855
310,310,24,,3105,radio/TV,2.0,male,kaggle,,own,good,25,391779.0,534
311,311,18,moderate,1913,business,2.0,male,kaggle,rich,own,good,,391779.0,30
312,312,39,little,14179,furniture/equipment,3.0,male,kaggle,,own,good,30,391779.0,744
313,313,12,little,1107,radio/TV,3.0,male,kaggle,little,rent,good,20,391779.0,905
314,314,15,little,2511,car,2.0,female,kaggle,little,rent,good,23,391779.0,746
315,315,9,moderate,1501,education,3.0,female,kaggle,little,own,bad,34,391779.0,195
316,316,30,little,3108,furniture/equipment,1.0,male,kaggle,little,own,bad,31,391779.0,766
317,317,20,moderate,6148,car,2.0,male,kaggle,moderate,own,good,31,391779.0,719
318,318,48,little,10297,car,2.0,male,kaggle,little,free,bad,39,391779.0,927
319,319,6,,2978,furniture/equipment,2.0,male,kaggle,quite rich,own,good,32,391779.0,165
320,320,24,,,car,,,kaggle,,,good,,391779.0,
321,321,9,moderate,1136,education,2.0,male,kaggle,rich,free,bad,32,391779.0,349
322,322,24,,2978,business,2.0,male,kaggle,,own,good,32,391779.0,223
323,323,6,little,1203,car,2.0,,kaggle,moderate,own,,43,391779.0,518
324,324,10,rich,3949,car,1.0,male,kaggle,little,own,good,37,391779.0,344
325,325,18,moderate,2278,car,2.0,female,kaggle,moderate,own,bad,28,391779.0,556
326,326,18,,2169,business,2.0,male,kaggle,little,own,bad,28,391779.0,861
327,327,18,,1028,car,2.0,female,kaggle,little,own,good,36,391779.0,324
328,328,6,,1538,education,2.0,female,kaggle,little,own,good,56,391779.0,680
329,329,15,,3368,car,2.0,male,kaggle,rich,rent,good,23,391779.0,280
330,330,48,little,10297,car,2.0,male,kaggle,little,free,bad,39,391779.0,927
331,331,18,,3229,car,3.0,male,kaggle,,own,good,38,391779.0,352
332,332,12,little,1409,car,2.0,male,kaggle,little,own,good,54,391779.0,91
333,333,6,,6761,car,3.0,male,kaggle,little,own,good,45,391779.0,738
334,334,24,little,1358,vacation/others,3.0,male,kaggle,,own,bad,40,391779.0,594
335,335,21,,2993,car,1.0,male,kaggle,little,own,good,28,391779.0,841
336,336,12,,2859,car,3.0,male,kaggle,,own,good,38,391779.0,947
337,337,24,little,1603,radio/TV,2.0,female,kaggle,little,own,good,55,391779.0,261
